col.0: MtotZAMS/Msun  col.1:num mergers
430509781.0324014 817
col.0:ID col.1:m1ZAMS/Msun col.2:m2ZAMS/Msun col.3:m1rem/Msun col.4:m2rem/Msun col.5:m1rem+m2rem/Msun col.6:delay_time/Myr col.7:sma/Rsun col.8:ecc col.9:kick/kms col.10:kick/kms col.11:cmu1 col.12:cmu2 col.13:v1x/kms col.14:v1y/kms col.15:v1z/kms col.16:v2x/kms col.17:v2y/kms col.18:v2z/kms col.19:time_SN1/Myr col.20:time_SN2/Myr col.21:CE
0_2421292 62.0601 19.8769 16.038 13.645 29.683 8349.6934 24.221 0.029357 0.0 7.2508 1.0 1.0 2.467 0.0 -0.0 6.457 -2.724 -1.916 4.543 8.286 False
0_2425918 32.5208 25.5546 19.4456 6.2142 25.659799999999997 3095.9497 719.55 0.99491 9.8999 90.3556 0.9883 0.0771 3.414 -1.812 3.552 41.96 -9.804 1.241 6.724 8.214 True
0_2448367 95.1027 29.4596 22.4898 18.7078 41.197599999999994 9419.4658 31.909 0.012137 0.0 0.0 1.0 1.0 1.913 -0.0 -0.0 3.287 0.0 -0.0 3.92 6.953 False
0_2461492 65.0327 20.3397 16.4265 14.2585 30.685000000000002 2235.7305 17.779 0.016295 0.0 0.0 1.0 1.0 2.612 -0.0 -0.0 5.004 -0.0 0.0 4.461 8.131 False
0_2533471 33.4674 22.1136 20.1445 9.2798 29.424300000000002 9620.0928 6090.3 0.99926 12.4986 55.0374 0.9852 0.9528 1.737 4.379 3.792 17.27 14.54 -0.1367 6.571 9.486 False
0_2534749 103.8494 33.011 23.7796 20.0807 43.860299999999995 10368.6982 34.288 0.0114 0.0 0.0 1.0 1.0 1.769 0.0 -0.0 3.052 -0.0 0.0 3.835 6.692 False
0_2544583 74.6059 22.8255 18.8506 15.6969 34.5475 11290.4795 29.294 0.014473 0.0 0.0 1.0 1.0 2.214 -0.0 -0.0 3.745 0.0 0.0 4.222 7.691 False
0_2547286 78.5653 26.5953 19.6579 16.9284 36.5863 12357.7969 31.318 0.013666 0.0 0.0 1.0 1.0 2.023 0.0 0.0 3.465 0.0 0.0 4.147 7.336 False
0_2586595 96.6763 31.1394 22.4673 19.2681 41.7354 6811.1274 29.67 0.01198 0.0 0.0 1.0 1.0 1.876 -0.0 0.0 3.34 -0.0 -0.0 3.906 6.841 False
0_2591934 78.8137 25.5926 19.3398 16.7428 36.0826 4633.5322 24.113 0.013857 0.0 0.0 1.0 1.0 2.177 0.0 -0.0 3.967 -0.0 -0.0 4.149 7.394 False
